model,model_group,affordance,technique,detections,n,rate
qwen2.5-1.5b-instruct,baseline,1,assistant_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,1,scratchpad_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,1,base_model,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,1,human_turn,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,1,interrogation,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,2,assistant_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,2,scratchpad_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,2,base_model,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,2,human_turn,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,2,interrogation,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,3,assistant_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,3,scratchpad_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,3,base_model,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,3,human_turn,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,3,interrogation,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,4,assistant_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,4,scratchpad_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,4,base_model,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,4,human_turn,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,4,interrogation,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,5,assistant_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,5,scratchpad_prefill,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,5,base_model,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,5,human_turn,0,30,0.000000
qwen2.5-1.5b-instruct,baseline,5,interrogation,0,30,0.000000
qwen2.5-7b-instruct,baseline,1,assistant_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,1,scratchpad_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,1,base_model,0,30,0.000000
qwen2.5-7b-instruct,baseline,1,human_turn,0,30,0.000000
qwen2.5-7b-instruct,baseline,1,interrogation,0,30,0.000000
qwen2.5-7b-instruct,baseline,2,assistant_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,2,scratchpad_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,2,base_model,0,30,0.000000
qwen2.5-7b-instruct,baseline,2,human_turn,0,30,0.000000
qwen2.5-7b-instruct,baseline,2,interrogation,0,30,0.000000
qwen2.5-7b-instruct,baseline,3,assistant_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,3,scratchpad_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,3,base_model,0,30,0.000000
qwen2.5-7b-instruct,baseline,3,human_turn,0,30,0.000000
qwen2.5-7b-instruct,baseline,3,interrogation,0,30,0.000000
qwen2.5-7b-instruct,baseline,4,assistant_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,4,scratchpad_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,4,base_model,0,30,0.000000
qwen2.5-7b-instruct,baseline,4,human_turn,0,30,0.000000
qwen2.5-7b-instruct,baseline,4,interrogation,0,30,0.000000
qwen2.5-7b-instruct,baseline,5,assistant_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,5,scratchpad_prefill,0,30,0.000000
qwen2.5-7b-instruct,baseline,5,base_model,0,30,0.000000
qwen2.5-7b-instruct,baseline,5,human_turn,0,30,0.000000
qwen2.5-7b-instruct,baseline,5,interrogation,0,30,0.000000
qwen2.5-32b-instruct,baseline,1,assistant_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,1,scratchpad_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,1,base_model,0,30,0.000000
qwen2.5-32b-instruct,baseline,1,human_turn,0,30,0.000000
qwen2.5-32b-instruct,baseline,1,interrogation,0,30,0.000000
qwen2.5-32b-instruct,baseline,2,assistant_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,2,scratchpad_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,2,base_model,0,30,0.000000
qwen2.5-32b-instruct,baseline,2,human_turn,0,30,0.000000
qwen2.5-32b-instruct,baseline,2,interrogation,0,30,0.000000
qwen2.5-32b-instruct,baseline,3,assistant_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,3,scratchpad_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,3,base_model,0,30,0.000000
qwen2.5-32b-instruct,baseline,3,human_turn,0,30,0.000000
qwen2.5-32b-instruct,baseline,3,interrogation,0,30,0.000000
qwen2.5-32b-instruct,baseline,4,assistant_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,4,scratchpad_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,4,base_model,0,30,0.000000
qwen2.5-32b-instruct,baseline,4,human_turn,0,30,0.000000
qwen2.5-32b-instruct,baseline,4,interrogation,0,30,0.000000
qwen2.5-32b-instruct,baseline,5,assistant_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,5,scratchpad_prefill,0,30,0.000000
qwen2.5-32b-instruct,baseline,5,base_model,0,30,0.000000
qwen2.5-32b-instruct,baseline,5,human_turn,0,30,0.000000
qwen2.5-32b-instruct,baseline,5,interrogation,0,30,0.000000
1.5b-trained,trained,1,assistant_prefill,0,30,0.000000
1.5b-trained,trained,1,scratchpad_prefill,0,30,0.000000
1.5b-trained,trained,1,base_model,0,30,0.000000
1.5b-trained,trained,1,human_turn,0,30,0.000000
1.5b-trained,trained,1,interrogation,0,30,0.000000
1.5b-trained,trained,2,assistant_prefill,0,30,0.000000
1.5b-trained,trained,2,scratchpad_prefill,0,30,0.000000
1.5b-trained,trained,2,base_model,0,30,0.000000
1.5b-trained,trained,2,human_turn,0,30,0.000000
1.5b-trained,trained,2,interrogation,0,30,0.000000
1.5b-trained,trained,3,assistant_prefill,0,30,0.000000
1.5b-trained,trained,3,scratchpad_prefill,0,30,0.000000
1.5b-trained,trained,3,base_model,0,30,0.000000
1.5b-trained,trained,3,human_turn,0,30,0.000000
1.5b-trained,trained,3,interrogation,0,30,0.000000
1.5b-trained,trained,4,assistant_prefill,0,30,0.000000
1.5b-trained,trained,4,scratchpad_prefill,0,30,0.000000
1.5b-trained,trained,4,base_model,1,30,0.033333
1.5b-trained,trained,4,human_turn,3,30,0.100000
1.5b-trained,trained,4,interrogation,3,30,0.100000
1.5b-trained,trained,5,assistant_prefill,0,30,0.000000
1.5b-trained,trained,5,scratchpad_prefill,0,30,0.000000
1.5b-trained,trained,5,base_model,1,30,0.033333
1.5b-trained,trained,5,human_turn,4,30,0.133333
1.5b-trained,trained,5,interrogation,2,30,0.066667
7b-trained,trained,1,assistant_prefill,0,30,0.000000
7b-trained,trained,1,scratchpad_prefill,0,30,0.000000
7b-trained,trained,1,base_model,0,30,0.000000
7b-trained,trained,1,human_turn,0,30,0.000000
7b-trained,trained,1,interrogation,0,30,0.000000
7b-trained,trained,2,assistant_prefill,0,30,0.000000
7b-trained,trained,2,scratchpad_prefill,0,30,0.000000
7b-trained,trained,2,base_model,0,30,0.000000
7b-trained,trained,2,human_turn,0,30,0.000000
7b-trained,trained,2,interrogation,0,30,0.000000
7b-trained,trained,3,assistant_prefill,0,30,0.000000
7b-trained,trained,3,scratchpad_prefill,0,30,0.000000
7b-trained,trained,3,base_model,0,30,0.000000
7b-trained,trained,3,human_turn,0,30,0.000000
7b-trained,trained,3,interrogation,0,30,0.000000
7b-trained,trained,4,assistant_prefill,0,30,0.000000
7b-trained,trained,4,scratchpad_prefill,0,30,0.000000
7b-trained,trained,4,base_model,0,30,0.000000
7b-trained,trained,4,human_turn,0,30,0.000000
7b-trained,trained,4,interrogation,5,30,0.166667
7b-trained,trained,5,assistant_prefill,5,30,0.166667
7b-trained,trained,5,scratchpad_prefill,2,30,0.066667
7b-trained,trained,5,base_model,6,30,0.200000
7b-trained,trained,5,human_turn,3,30,0.100000
7b-trained,trained,5,interrogation,4,30,0.133333
7b-pos-only,trained,1,assistant_prefill,0,30,0.000000
7b-pos-only,trained,1,scratchpad_prefill,0,30,0.000000
7b-pos-only,trained,1,base_model,0,30,0.000000
7b-pos-only,trained,1,human_turn,0,30,0.000000
7b-pos-only,trained,1,interrogation,0,30,0.000000
7b-pos-only,trained,2,assistant_prefill,0,30,0.000000
7b-pos-only,trained,2,scratchpad_prefill,0,30,0.000000
7b-pos-only,trained,2,base_model,0,30,0.000000
7b-pos-only,trained,2,human_turn,0,30,0.000000
7b-pos-only,trained,2,interrogation,0,30,0.000000
7b-pos-only,trained,3,assistant_prefill,0,30,0.000000
7b-pos-only,trained,3,scratchpad_prefill,0,30,0.000000
7b-pos-only,trained,3,base_model,0,30,0.000000
7b-pos-only,trained,3,human_turn,0,30,0.000000
7b-pos-only,trained,3,interrogation,0,30,0.000000
